incursion,eradication,local_quarantine,trap_density,trap_radii,education,replicate,timestep,area,c_traps,c_eradication,c_quarantine,c_industry
Melbourne,0,0,0,1,TRUE,1,1,81,2000,0,0,0
Melbourne,0,0,0,1,TRUE,1,2,486,2000,0,0,0
Melbourne,0,0,0,1,TRUE,1,3,648,2000,0,0,1664.541797
Melbourne,0,0,0,1,TRUE,1,4,1053,2000,0,0,14256.01367
Melbourne,0,0,0,1,TRUE,1,5,1458,2000,0,0,54004.17197
Melbourne,0,0,0,1,TRUE,1,6,2025,2000,0,0,54004.17197
Melbourne,0,0,0,1,TRUE,1,7,2592,2000,0,0,54004.17197
Melbourne,0,0,0,1,TRUE,1,8,2997,2000,0,0,55579.56032
Melbourne,0,0,0,1,TRUE,1,9,3240,2000,0,0,55579.56032
Melbourne,0,0,0,1,TRUE,1,10,3807,2000,0,0,55726.69396
Melbourne,0,0,0,1,TRUE,1,11,4860,2000,0,0,66915.97977
Melbourne,0,0,0,1,TRUE,1,12,6075,2000,0,0,207595.8038
Melbourne,0,0,0,1,TRUE,1,13,7290,2000,0,0,209429.1727
Melbourne,0,0,0,1,TRUE,1,14,7938,2000,0,0,238471.4507
Melbourne,0,0,0,1,TRUE,1,15,8424,2000,0,0,242300.1461
Melbourne,0,0,0,1,TRUE,1,16,9639,2000,0,0,254365.1042
Melbourne,0,0,0,1,TRUE,1,17,11907,2000,0,0,281920.5936
Melbourne,0,0,0,1,TRUE,1,18,12555,2000,0,0,265437.952
Melbourne,0,0,0,1,TRUE,1,19,13608,2000,0,0,316540.5119
Melbourne,0,0,0,1,TRUE,1,20,14013,2000,0,0,326266.3216
Melbourne,0,0,0,1,TRUE,1,21,15228,2000,0,0,326934.045
Melbourne,0,0,0,1,TRUE,1,22,17091,2000,0,0,439479.2522
Melbourne,0,0,0,1,TRUE,1,23,20979,2000,0,0,521971.9022
Melbourne,0,0,0,1,TRUE,1,24,25596,2000,0,0,522078.7232
Melbourne,0,0,0,1,TRUE,1,25,28512,2000,0,0,410905.5739
Melbourne,0,0,0,1,TRUE,1,26,33210,2000,0,0,448561.8709
Melbourne,0,0,0,1,TRUE,1,27,37989,2000,0,0,449280.8706
Melbourne,0,0,0,1,TRUE,1,28,43497,2000,0,0,469672.5965
Melbourne,0,0,0,1,TRUE,1,29,50544,2000,0,0,494474.8609
Melbourne,0,0,0,1,TRUE,1,30,56862,2000,0,0,506484.1731
Melbourne,0,0,0,1,TRUE,1,31,60750,2000,0,0,529240.9858
Melbourne,0,0,0,1,TRUE,1,32,63585,2000,0,0,589191.7588
Melbourne,0,0,0,1,TRUE,1,33,67311,2000,0,0,611929.8817
Melbourne,0,0,0,1,TRUE,1,34,74844,2000,0,0,765207.5885
Melbourne,0,0,0,1,TRUE,1,35,89667,2000,0,0,957250.7933
Melbourne,0,0,0,1,TRUE,1,36,103356,2000,0,0,1.19E+06
Melbourne,0,0,0,1,TRUE,1,37,115101,2000,0,0,1.25E+06
Melbourne,0,0,0,1,TRUE,2,1,81,2000,0,0,0
Melbourne,0,0,0,1,TRUE,2,2,486,2000,0,0,0
Melbourne,0,0,0,1,TRUE,2,3,648,2000,0,0,0
Melbourne,0,0,0,1,TRUE,2,4,1134,2000,0,0,2019.684701
Melbourne,0,0,0,1,TRUE,2,5,1701,2000,0,0,14611.15658
Melbourne,0,0,0,1,TRUE,2,6,2592,2000,0,0,14611.15658
Melbourne,0,0,0,1,TRUE,2,7,2673,2000,0,0,53939.33158
Melbourne,0,0,0,1,TRUE,2,8,2916,2000,0,0,54086.46522
Melbourne,0,0,0,1,TRUE,2,9,3807,2000,0,0,54517.80524
Melbourne,0,0,0,1,TRUE,2,10,4293,2000,0,0,56007.35778
Melbourne,0,0,0,1,TRUE,2,11,5103,2000,0,0,56427.34108
Melbourne,0,0,0,1,TRUE,2,12,7938,2000,0,0,67936.8355
Melbourne,0,0,0,1,TRUE,2,13,8829,2000,0,0,256551.7089
Melbourne,0,0,0,1,TRUE,2,14,9315,2000,0,0,263461.6583
Melbourne,0,0,0,1,TRUE,2,15,11097,2000,0,0,328133.569
Melbourne,0,0,0,1,TRUE,2,16,13851,2000,0,0,523013.5466
Melbourne,0,0,0,1,TRUE,2,17,18144,2000,0,0,663771.6208
Melbourne,0,0,0,1,TRUE,2,18,20979,2000,0,0,742316.0704
Melbourne,0,0,0,1,TRUE,2,19,23652,2000,0,0,752190.3095
Melbourne,0,0,0,1,TRUE,2,20,27540,2000,0,0,754870.0895
Melbourne,0,0,0,1,TRUE,2,21,32319,2000,0,0,768483.8227
Melbourne,0,0,0,1,TRUE,2,22,38232,2000,0,0,891951.2485
Melbourne,0,0,0,1,TRUE,2,23,48843,2000,0,0,977121.2901
Melbourne,0,0,0,1,TRUE,2,24,59535,2000,0,0,1.18E+06
Melbourne,0,0,0,1,TRUE,2,25,68445,2000,0,0,1.22E+06
Melbourne,0,0,0,1,TRUE,2,26,74358,2000,0,0,1.38E+06
Melbourne,0,0,0,1,TRUE,2,27,80676,2000,0,0,1.42E+06
Melbourne,0,0,0,1,TRUE,2,28,94365,2000,0,0,1.41E+06
Melbourne,0,0,0,1,TRUE,2,29,107082,2000,0,0,1.54E+06
Melbourne,0,0,0,1,TRUE,2,30,118584,2000,0,0,1.46E+06
Melbourne,0,0,0,1,TRUE,2,31,125712,2000,0,0,1.54E+06
Melbourne,0,0,0,1,TRUE,2,32,135351,2000,0,0,1.60E+06
Melbourne,0,0,0,1,TRUE,2,33,145476,2000,0,0,1.67E+06
Melbourne,0,0,0,1,TRUE,2,34,157788,2000,0,0,1.67E+06
Melbourne,0,0,0,1,TRUE,2,35,177876,2000,0,0,1.75E+06
Melbourne,0,0,0,1,TRUE,2,36,204606,2000,0,0,1.87E+06
Melbourne,0,0,0,1,TRUE,2,37,220887,2000,0,0,1.96E+06
Melbourne,0,0,0,1,TRUE,3,1,81,2000,0,0,0
Melbourne,0,0,0,1,TRUE,3,2,486,2000,0,0,0
Melbourne,0,0,0,1,TRUE,3,3,648,2000,0,0,18.20712891
Melbourne,0,0,0,1,TRUE,3,4,1053,2000,0,0,438.1904297
Melbourne,0,0,0,1,TRUE,3,5,1620,2000,0,0,39836.29036
Melbourne,0,0,0,1,TRUE,3,6,2349,2000,0,0,40225.6484
Melbourne,0,0,0,1,TRUE,3,7,2511,2000,0,0,45773.56247
Melbourne,0,0,0,1,TRUE,3,8,3159,2000,0,0,59795.83175
Melbourne,0,0,0,1,TRUE,3,9,3159,2000,0,0,47360.76651
Melbourne,0,0,0,1,TRUE,3,10,4050,2000,0,0,49331.75365
Melbourne,0,0,0,1,TRUE,3,11,5994,2000,0,0,55277.1941
Melbourne,0,0,0,1,TRUE,3,12,7128,2000,0,0,70177.88227
Melbourne,0,0,0,1,TRUE,3,13,9234,2000,0,0,198932.5712
Melbourne,0,0,0,1,TRUE,3,14,10287,2000,0,0,209327.1689
Melbourne,0,0,0,1,TRUE,3,15,12555,2000,0,0,222191.3438
Melbourne,0,0,0,1,TRUE,3,16,15795,2000,0,0,254207.1624
Melbourne,0,0,0,1,TRUE,3,17,19035,2000,0,0,257358.9135
Melbourne,0,0,0,1,TRUE,3,18,22356,2000,0,0,316400.1084
Melbourne,0,0,0,1,TRUE,3,19,23895,2000,0,0,325171.5477
Melbourne,0,0,0,1,TRUE,3,20,24948,2000,0,0,325321.2543
Melbourne,0,0,0,1,TRUE,3,21,26892,2000,0,0,322208.2167
Melbourne,0,0,0,1,TRUE,3,22,29808,2000,0,0,334128.1616
Melbourne,0,0,0,1,TRUE,3,23,36045,2000,0,0,351351.0122
Melbourne,0,0,0,1,TRUE,3,24,43740,2000,0,0,393414.437
Melbourne,0,0,0,1,TRUE,3,25,48600,2000,0,0,404146.1417
Melbourne,0,0,0,1,TRUE,3,26,53622,2000,0,0,385795.1135
Melbourne,0,0,0,1,TRUE,3,27,57672,2000,0,0,422880.0463
Melbourne,0,0,0,1,TRUE,3,28,71037,2000,0,0,632368.5063
Melbourne,0,0,0,1,TRUE,3,29,81972,2000,0,0,795684.7426
Melbourne,0,0,0,1,TRUE,3,30,91611,2000,0,0,810689.2211
Melbourne,0,0,0,1,TRUE,3,31,98982,2000,0,0,1.13E+06
Melbourne,0,0,0,1,TRUE,3,32,104976,2000,0,0,1.14E+06
Melbourne,0,0,0,1,TRUE,3,33,110241,2000,0,0,1.12E+06
Melbourne,0,0,0,1,TRUE,3,34,121905,2000,0,0,1.22E+06
Melbourne,0,0,0,1,TRUE,3,35,141426,2000,0,0,1.39E+06
Melbourne,0,0,0,1,TRUE,3,36,164187,2000,0,0,1.44E+06
Melbourne,0,0,0,1,TRUE,3,37,180711,2000,0,0,1.58E+06
Melbourne,0,0,0,1,TRUE,4,1,81,2000,0,0,0
Melbourne,0,0,0,1,TRUE,4,2,486,2000,0,0,0
Melbourne,0,0,0,1,TRUE,4,3,648,2000,0,0,0
Melbourne,0,0,0,1,TRUE,4,4,972,2000,0,0,4549.611979
Melbourne,0,0,0,1,TRUE,4,5,1539,2000,0,0,0
Melbourne,0,0,0,1,TRUE,4,6,2025,2000,0,0,1664.541797
Melbourne,0,0,0,1,TRUE,4,7,2349,2000,0,0,1664.541797
Melbourne,0,0,0,1,TRUE,4,8,2835,2000,0,0,6369.428939
Melbourne,0,0,0,1,TRUE,4,9,3240,2000,0,0,19187.23239
Melbourne,0,0,0,1,TRUE,4,10,3726,2000,0,0,19334.36603
Melbourne,0,0,0,1,TRUE,4,11,4941,2000,0,0,52945.03322
Melbourne,0,0,0,1,TRUE,4,12,5670,2000,0,0,68445.5121
Melbourne,0,0,0,1,TRUE,4,13,6642,2000,0,0,74477.10145
Melbourne,0,0,0,1,TRUE,4,14,7290,2000,0,0,261713.3352
Melbourne,0,0,0,1,TRUE,4,15,7452,2000,0,0,261972.4349
Melbourne,0,0,0,1,TRUE,4,16,8748,2000,0,0,286627.0222
Melbourne,0,0,0,1,TRUE,4,17,10611,2000,0,0,297075.1771
Melbourne,0,0,0,1,TRUE,4,18,11583,2000,0,0,317526.3987
Melbourne,0,0,0,1,TRUE,4,19,12555,2000,0,0,320198.2322
Melbourne,0,0,0,1,TRUE,4,20,13608,2000,0,0,337941.759
Melbourne,0,0,0,1,TRUE,4,21,14985,2000,0,0,334294.9664
Melbourne,0,0,0,1,TRUE,4,22,16929,2000,0,0,342495.9057
Melbourne,0,0,0,1,TRUE,4,23,23490,2000,0,0,370466.3443
Melbourne,0,0,0,1,TRUE,4,24,29241,2000,0,0,397486.5698
Melbourne,0,0,0,1,TRUE,4,25,33453,2000,0,0,396509.1902
Melbourne,0,0,0,1,TRUE,4,26,36369,2000,0,0,406464.8678
Melbourne,0,0,0,1,TRUE,4,27,41067,2000,0,0,411035.2337
Melbourne,0,0,0,1,TRUE,4,28,47790,2000,0,0,433727.397
Melbourne,0,0,0,1,TRUE,4,29,54189,2000,0,0,491928.7167
Melbourne,0,0,0,1,TRUE,4,30,59940,2000,0,0,562313.6205
Melbourne,0,0,0,1,TRUE,4,31,63504,2000,0,0,595697.1251
Melbourne,0,0,0,1,TRUE,4,32,69903,2000,0,0,680069.3829
Melbourne,0,0,0,1,TRUE,4,33,75411,2000,0,0,800937.782
Melbourne,0,0,0,1,TRUE,4,34,86184,2000,0,0,1.20E+06
Melbourne,0,0,0,1,TRUE,4,35,103113,2000,0,0,1.27E+06
Melbourne,0,0,0,1,TRUE,4,36,118989,2000,0,0,1.56E+06
Melbourne,0,0,0,1,TRUE,4,37,134136,2000,0,0,1.65E+06
Melbourne,0,0,0,1,TRUE,5,1,81,2000,0,0,0
Melbourne,0,0,0,1,TRUE,5,2,486,2000,0,0,0
Melbourne,0,0,0,1,TRUE,5,3,648,2000,0,0,0
Melbourne,0,0,0,1,TRUE,5,4,1134,2000,0,0,0
Melbourne,0,0,0,1,TRUE,5,5,1620,2000,0,0,5547.914063
Melbourne,0,0,0,1,TRUE,5,6,2268,2000,0,0,5547.914063
Melbourne,0,0,0,1,TRUE,5,7,2430,2000,0,0,5547.914063
Melbourne,0,0,0,1,TRUE,5,8,2916,2000,0,0,5695.047705
Melbourne,0,0,0,1,TRUE,5,9,3321,2000,0,0,18785.70081
Melbourne,0,0,0,1,TRUE,5,10,4050,2000,0,0,18932.83446
Melbourne,0,0,0,1,TRUE,5,11,5346,2000,0,0,21302.74018
Melbourne,0,0,0,1,TRUE,5,12,6723,2000,0,0,79949.55248
Melbourne,0,0,0,1,TRUE,5,13,8019,2000,0,0,81069.79442
Melbourne,0,0,0,1,TRUE,5,14,9720,2000,0,0,209492.7327
Melbourne,0,0,0,1,TRUE,5,15,11259,2000,0,0,236041.859
Melbourne,0,0,0,1,TRUE,5,16,13770,2000,0,0,300359.0236
Melbourne,0,0,0,1,TRUE,5,17,16524,2000,0,0,308091.0608
Melbourne,0,0,0,1,TRUE,5,18,18873,2000,0,0,314787.7753
Melbourne,0,0,0,1,TRUE,5,19,21060,2000,0,0,321248.232
Melbourne,0,0,0,1,TRUE,5,20,22113,2000,0,0,381904.9695
Melbourne,0,0,0,1,TRUE,5,21,24138,2000,0,0,384280.1294
Melbourne,0,0,0,1,TRUE,5,22,27297,2000,0,0,546965.927
Melbourne,0,0,0,1,TRUE,5,23,32400,2000,0,0,569748.5568
Melbourne,0,0,0,1,TRUE,5,24,40176,2000,0,0,814988.2866
Melbourne,0,0,0,1,TRUE,5,25,46332,2000,0,0,829820.3369
Melbourne,0,0,0,1,TRUE,5,26,51435,2000,0,0,864406.1199
Melbourne,0,0,0,1,TRUE,5,27,56700,2000,0,0,887071.9355
Melbourne,0,0,0,1,TRUE,5,28,69822,2000,0,0,1.06E+06
Melbourne,0,0,0,1,TRUE,5,29,80352,2000,0,0,1.10E+06
Melbourne,0,0,0,1,TRUE,5,30,89748,2000,0,0,1.14E+06
Melbourne,0,0,0,1,TRUE,5,31,96957,2000,0,0,1.04E+06
Melbourne,0,0,0,1,TRUE,5,32,104490,2000,0,0,1.12E+06
Melbourne,0,0,0,1,TRUE,5,33,111780,2000,0,0,1.14E+06
Melbourne,0,0,0,1,TRUE,5,34,123687,2000,0,0,1.21E+06
Melbourne,0,0,0,1,TRUE,5,35,146448,2000,0,0,1.25E+06
Melbourne,0,0,0,1,TRUE,5,36,168642,2000,0,0,1.44E+06
Melbourne,0,0,0,1,TRUE,5,37,182979,2000,0,0,1.46E+06
Melbourne,0,0,0,1,FALSE,1,1,81,2000,0,0,0
Melbourne,0,0,0,1,FALSE,1,2,486,2000,0,0,0
Melbourne,0,0,0,1,FALSE,1,3,648,2000,0,0,0
Melbourne,0,0,0,1,FALSE,1,4,1134,2000,0,0,3329.083594
Melbourne,0,0,0,1,FALSE,1,5,1620,2000,0,0,78656.35
Melbourne,0,0,0,1,FALSE,1,6,2187,2000,0,0,79109.01315
Melbourne,0,0,0,1,FALSE,1,7,2511,2000,0,0,79109.01315
Melbourne,0,0,0,1,FALSE,1,8,2835,2000,0,0,91355.3582
Melbourne,0,0,0,1,FALSE,1,9,3321,2000,0,0,94684.4418
Melbourne,0,0,0,1,FALSE,1,10,3888,2000,0,0,120161.6528
Melbourne,0,0,0,1,FALSE,1,11,5184,2000,0,0,383717.2465
Melbourne,0,0,0,1,FALSE,1,12,6075,2000,0,0,395124.9201
Melbourne,0,0,0,1,FALSE,1,13,6804,2000,0,0,412063.1294
Melbourne,0,0,0,1,FALSE,1,14,7452,2000,0,0,521739.9917
Melbourne,0,0,0,1,FALSE,1,15,8424,2000,0,0,579427.5338
Melbourne,0,0,0,1,FALSE,1,16,10287,2000,0,0,577426.7556
Melbourne,0,0,0,1,FALSE,1,17,12555,2000,0,0,581036.0277
Melbourne,0,0,0,1,FALSE,1,18,12960,2000,0,0,587067.4124
Melbourne,0,0,0,1,FALSE,1,19,14499,2000,0,0,603009.0257
Melbourne,0,0,0,1,FALSE,1,20,15552,2000,0,0,646059.7427
Melbourne,0,0,0,1,FALSE,1,21,16200,2000,0,0,641111.4115
Melbourne,0,0,0,1,FALSE,1,22,18387,2000,0,0,664638.9267
Melbourne,0,0,0,1,FALSE,1,23,24543,2000,0,0,700009.0129
Melbourne,0,0,0,1,FALSE,1,24,28512,2000,0,0,721571.4691
Melbourne,0,0,0,1,FALSE,1,25,35640,2000,0,0,824242.6444
Melbourne,0,0,0,1,FALSE,1,26,39447,2000,0,0,914783.2201
Melbourne,0,0,0,1,FALSE,1,27,44388,2000,0,0,1.05E+06
Melbourne,0,0,0,1,FALSE,1,28,52974,2000,0,0,1.27E+06
Melbourne,0,0,0,1,FALSE,1,29,62046,2000,0,0,1.39E+06
Melbourne,0,0,0,1,FALSE,1,30,68526,2000,0,0,1.99E+06
Melbourne,0,0,0,1,FALSE,1,31,73710,2000,0,0,2.21E+06
Melbourne,0,0,0,1,FALSE,1,32,79218,2000,0,0,2.19E+06
Melbourne,0,0,0,1,FALSE,1,33,85050,2000,0,0,2.26E+06
Melbourne,0,0,0,1,FALSE,1,34,94932,2000,0,0,2.45E+06
Melbourne,0,0,0,1,FALSE,1,35,111456,2000,0,0,2.52E+06
Melbourne,0,0,0,1,FALSE,1,36,129519,2000,0,0,2.66E+06
Melbourne,0,0,0,1,FALSE,1,37,143937,2000,0,0,2.94E+06
Melbourne,0,0,0,1,FALSE,2,1,81,2000,0,0,0
Melbourne,0,0,0,1,FALSE,2,2,486,2000,0,0,0
Melbourne,0,0,0,1,FALSE,2,3,648,2000,0,0,0
Melbourne,0,0,0,1,FALSE,2,4,1134,2000,0,0,87755.57396
Melbourne,0,0,0,1,FALSE,2,5,1377,2000,0,0,78656.35
Melbourne,0,0,0,1,FALSE,2,6,2025,2000,0,0,114935.1219
Melbourne,0,0,0,1,FALSE,2,7,2430,2000,0,0,103839.2938
Melbourne,0,0,0,1,FALSE,2,8,2592,2000,0,0,104679.2604
Melbourne,0,0,0,1,FALSE,2,9,3159,2000,0,0,105275.2539
Melbourne,0,0,0,1,FALSE,2,10,3645,2000,0,0,122208.9352
Melbourne,0,0,0,1,FALSE,2,11,4698,2000,0,0,132825.3091
Melbourne,0,0,0,1,FALSE,2,12,5184,2000,0,0,389842.0217
Melbourne,0,0,0,1,FALSE,2,13,6480,2000,0,0,416642.9629
Melbourne,0,0,0,1,FALSE,2,14,7047,2000,0,0,434170.2835
Melbourne,0,0,0,1,FALSE,2,15,7695,2000,0,0,483383.6202
Melbourne,0,0,0,1,FALSE,2,16,9396,2000,0,0,490750.1505
Melbourne,0,0,0,1,FALSE,2,17,10530,2000,0,0,587613.9048
Melbourne,0,0,0,1,FALSE,2,18,11664,2000,0,0,592967.8797
Melbourne,0,0,0,1,FALSE,2,19,13041,2000,0,0,590671.4655
Melbourne,0,0,0,1,FALSE,2,20,13527,2000,0,0,607757.9418
Melbourne,0,0,0,1,FALSE,2,21,14904,2000,0,0,600446.4993
Melbourne,0,0,0,1,FALSE,2,22,17172,2000,0,0,611965.1035
Melbourne,0,0,0,1,FALSE,2,23,21627,2000,0,0,650121.4782
Melbourne,0,0,0,1,FALSE,2,24,26892,2000,0,0,683655.1251
Melbourne,0,0,0,1,FALSE,2,25,30618,2000,0,0,840166.1548
Melbourne,0,0,0,1,FALSE,2,26,34749,2000,0,0,732187.887
Melbourne,0,0,0,1,FALSE,2,27,38475,2000,0,0,873355.0417
Melbourne,0,0,0,1,FALSE,2,28,46008,2000,0,0,878674.6235
Melbourne,0,0,0,1,FALSE,2,29,53379,2000,0,0,917744.4244
Melbourne,0,0,0,1,FALSE,2,30,57024,2000,0,0,923158.1682
Melbourne,0,0,0,1,FALSE,2,31,60993,2000,0,0,994312.3132
Melbourne,0,0,0,1,FALSE,2,32,64476,2000,0,0,1.11E+06
Melbourne,0,0,0,1,FALSE,2,33,68688,2000,0,0,1.01E+06
