location,time,traps_per_cell,timesd,area,areasd
Adelaide,1.0,1,0.0,81.0,0.0
Adelaide,1.0,2,0.0,81.0,0.0
Adelaide,1.0,3,0.0,81.0,0.0
Adelaide,1.04,4,0.2,110.16,145.8
Adelaide,1.0,5,0.0,81.0,0.0
Adelaide,1.0,6,0.0,81.0,0.0
Adelaide,1.2,7,0.4082483,226.8,297.613
Adelaide,1.2,8,0.4082483,220.32,284.96194
Adelaide,1.24,9,0.4358899,255.96,317.76373
Adelaide,1.32,10,0.47609523,307.8,338.03958
Adelaide,1.36,11,0.48989794,340.2,353.0708
Adelaide,1.44,12,0.5066228,395.28,362.48444
Adelaide,1.32,13,0.47609523,314.28,347.07343
Adelaide,1.72,14,0.7371115,563.76,440.8613
Adelaide,1.84,15,0.74610096,648.0,445.5
Adelaide,2.08,16,1.2220201,738.72,608.5431
Adelaide,2.76,17,1.7387735,1010.88,738.73004
Adelaide,3.0,18,3.0413814,1208.52,1652.8962
Adelaide,2.44,19,1.556706,916.92,712.96875
Adelaide,3.36,20,2.7970223,1263.6,1170.5364
Adelaide,5.72,21,4.237924,2365.2,1949.0559
Brisbane,2.0,1,0.0,793.8,33.06811
Brisbane,2.08,2,0.27688748,800.28,35.615444
Brisbane,2.16,3,0.37416574,806.76,43.619835
Brisbane,2.12,4,0.33166248,803.52,46.295357
Brisbane,2.16,5,0.37416574,806.76,36.82309
Brisbane,2.76,6,0.7234178,955.8,293.9158
Brisbane,2.4,7,0.6454972,878.04,222.66408
Brisbane,2.88,8,0.6658328,978.48,320.539
Brisbane,2.72,9,0.7916228,955.8,273.68732
Brisbane,2.92,10,0.86216784,1036.8,383.50458
Brisbane,3.12,11,0.92736185,1134.0,406.34775
Brisbane,3.32,12,0.9882645,1263.6,585.0346
Brisbane,3.76,13,1.0908712,1496.88,703.8616
Brisbane,3.32,14,0.9882645,1211.76,517.3231
Brisbane,3.84,15,1.312758,1594.08,964.58044
Brisbane,4.0,16,1.2909944,1726.92,803.4667
Brisbane,4.48,17,1.3266499,2060.64,1159.055
Brisbane,4.8,18,1.8708287,2588.76,2099.8225
Brisbane,5.2,19,1.5275252,2805.84,1505.9393
Brisbane,5.0,20,1.7559423,2643.84,1845.4376
Brisbane,6.28,21,1.5684388,3956.04,2080.6228
Cairns,3.0,1,0.0,1215.0,52.285275
Cairns,3.0,2,0.0,1215.0,52.285275
Cairns,3.0,3,0.0,1215.0,52.285275
Cairns,3.0,4,0.0,1215.0,52.285275
Cairns,3.0,5,0.0,1215.0,52.285275
Cairns,3.12,6,0.33166248,1328.4,309.32385
Cairns,3.08,7,0.27688748,1296.0,296.69302
Cairns,3.08,8,0.27688748,1286.28,239.96606
Cairns,3.12,9,0.33166248,1328.4,309.32385
Cairns,3.32,10,0.55677646,1526.04,545.2128
Cairns,3.28,11,0.61373174,1480.68,591.78064
Cairns,3.6,12,0.57735026,1791.72,551.0183
Cairns,3.64,13,0.7,1820.88,657.68146
Cairns,3.6,14,0.6454972,1791.72,618.34717
Cairns,3.96,15,0.73484695,2138.4,710.00244
Cairns,4.12,16,0.8812869,2400.84,1071.7538
Cairns,4.16,17,0.8981462,2384.64,990.41064
Cairns,4.32,18,1.1803954,2650.32,1587.5311
Cairns,4.72,19,0.84261495,3071.52,1142.6265
Cairns,4.76,20,1.1647604,3308.04,1883.0947
Cairns,5.76,21,1.6653328,5261.76,3345.5615
Devonport,1.0,1,0.0,81.0,0.0
Devonport,1.0,2,0.0,81.0,0.0
Devonport,1.0,3,0.0,81.0,0.0
Devonport,1.0,4,0.0,81.0,0.0
Devonport,1.0,5,0.0,81.0,0.0
Devonport,1.04,6,0.2,100.44,97.2
Devonport,1.08,7,0.27688748,119.88,134.5673
Devonport,1.12,8,0.33166248,139.32,161.18796
Devonport,1.2,9,0.4082483,178.2,198.40868
Devonport,1.2,10,0.4082483,178.2,198.40868
Devonport,1.4,11,0.5,275.4,243.0
Devonport,1.44,12,0.5066228,294.84,246.21869
Devonport,1.6,13,0.5,372.6,243.0
Devonport,1.72,14,0.61373174,443.88,328.29156
Devonport,1.8,15,0.5,476.28,260.71432
Devonport,2.08,16,0.7593857,618.84,387.67337
Devonport,2.16,17,0.74610096,660.96,383.98898
Devonport,2.44,18,1.1930354,810.0,609.29736
Devonport,2.04,19,1.0598742,622.08,563.47906
Devonport,3.92,20,3.8397048,1918.08,3218.9832
Devonport,3.64,21,2.6280537,1480.68,1470.9773
Melbourne,4.0,1,1.118034,955.8,216.8421
Melbourne,4.12,2,1.2013881,1046.52,282.45667
Melbourne,4.12,3,1.2688577,1053.0,292.04965
Melbourne,4.0,4,1.1902381,978.48,283.42285
Melbourne,4.36,5,1.4106736,1101.6,371.92438
Melbourne,4.16,6,1.312758,1053.0,324.84265
Melbourne,4.36,7,1.380821,1117.8,368.2309
Melbourne,4.68,8,1.5470402,1221.48,447.899
Melbourne,4.68,9,1.7253019,1198.8,452.19962
Melbourne,4.84,10,1.0279429,1279.8,311.0864
Melbourne,5.04,11,1.5405626,1341.36,422.88412
