location,time,traps_per_cell,timesd,area,areasd
Adelaide,1.0,10.0,0.0,81.0,0.0
Adelaide,1.0,7.943282,0.0,81.0,0.0
Adelaide,1.0,6.3095737,0.0,81.0,0.0
Adelaide,1.0,5.0118723,0.0,81.0,0.0
Adelaide,1.04,3.9810717,0.24287836,90.72,55.548702
Adelaide,1.06,3.1622777,0.3428932,90.72,55.548702
Adelaide,1.13,2.5118864,0.50562495,106.11,94.72415
Adelaide,1.18,1.9952623,0.5925463,112.59,103.54837
Adelaide,1.48,1.5848932,0.893071,166.05,157.1724
Adelaide,1.56,1.2589254,0.9880089,179.82,175.5774
Adelaide,1.83,1.0,1.1725394,249.48,233.02623
Adelaide,1.97,0.7943282,1.2098502,269.73,232.56361
Adelaide,2.49,0.63095737,1.6726861,376.65,337.69632
Adelaide,2.89,0.5011872,2.0195758,450.36,410.17386
Adelaide,2.97,0.39810717,1.8116068,473.04,381.0941
Adelaide,4.19,0.31622776,2.608049,724.95,577.29456
Adelaide,4.81,0.25118864,3.1259584,871.56,688.9566
Adelaide,5.49,0.19952624,3.975925,1099.98,1209.7347
Adelaide,6.01,0.15848932,4.1742234,1220.67,1168.4967
Adelaide,6.9,0.12589253,5.074197,1436.13,1417.8964
Adelaide,8.93,0.1,5.3470564,2053.35,1718.8624
Brisbane,7.06,10.0,0.23868325,1065.96,52.405552
Brisbane,7.07,7.943282,0.2564324,1068.39,58.358852
Brisbane,7.14,6.3095737,0.3487351,1085.4,83.81473
Brisbane,7.21,5.0118723,0.40936017,1098.36,90.885826
Brisbane,7.23,3.9810717,0.4229526,1104.03,97.455345
Brisbane,7.44,3.1622777,0.57419246,1174.5,204.49472
Brisbane,7.56,2.5118864,0.6247424,1214.19,238.31715
Brisbane,7.52,1.9952623,0.717459,1206.09,280.33112
Brisbane,7.82,1.5848932,0.7160498,1315.44,317.4121
Brisbane,8.04,1.2589254,0.9735907,1430.46,452.85425
Brisbane,8.35,1.0,0.99873656,1568.97,521.6034
Brisbane,8.47,0.7943282,1.1232618,1655.64,665.8881
Brisbane,8.72,0.63095737,1.3110255,1865.43,848.94635
Brisbane,8.74,0.5011872,1.260271,1894.59,915.3898
Brisbane,9.2,0.39810717,1.2949007,2161.89,1043.4021
